artist,followers
Tyla,435148
Drake,83376131
Bruno Mars,52877643
Rihanna,58737619
The Weeknd,76846912
Doja Cat,27999021
Doechii,397918
Frank Ocean,12576006
Beyoncé,36498309
USHER,10839418
SZA,16699818
Mary J. Blige,3706711
Burna Boy,7684113
Mark Morrison,92780
Timbaland,2704380
Chris Brown,20931270
Joji,9216059
Bring Me The Horizon,5244524
Taylor Swift,97552124
Arctic Monkeys,22952620
Stephen Sanchez,1106548
The Neighbourhood,14835262
Eminem,80137878
"Tyler, The Creator",13652490
Miguel,4895740
The Kid LAROI,5008805
Glass Animals,3976359
Post Malone,43018674
Coldplay,48692935
Lewis Capaldi,12073643
Ruth B.,3243750
Miley Cyrus,22910578
Billie Eilish,90389025
J. Cole,22327353
Rosa Linn,328974
Ed Sheeran,114912538
Vance Joy,2965017
Lana Del Rey,31060953
Adele,53279326
Peso Pluma,10401571
Imagine Dragons,51447385
Justin Bieber,74483683
Tears For Fears,3220471
Lord Huron,1419205
Macklemore & Ryan Lewis,2586165
Kendrick Lamar,26445356
Harry Styles,30705501
Cigarettes After Sex,9355214
Tory Lanez,6279110
Hotel Ugly,501771
Keane,3205521
One Direction,34086682
Zach Bryan,2903343
INTERWORLD,620374
Sia,27371788
The Police,5806710
Lizzy McAlpine,754044
Steve Lacy,4064832
Hozier,6281221
James Arthur,15011110
The Walters,606840
TV Girl,4582373
Øneheart,499802
Mora,3754709
a-ha,2161897
Radiohead,9171580
Don Omar,10718644
LISA,6040365
Coolio,1045307
Avicii,23010848
Linkin Park,24811918
XXXTENTACION,43757150
Kanye West,22856637
The Chainsmokers,20313245
Conan Gray,8997205
Dua Lipa,42458035
Ariana Grande,95367800
Alec Benjamin,4786572
League of Legends,1772383
NewJeans,6768043
Bon Jovi,12884501
BTS,71550917
Kali Uchis,5985401
Ozuna,37471486
iñigo quintero,328074
Bad Bunny,78010265
Myke Towers,13624550
Quevedo,3630206
Yng Lvcas,298877
KAROL G,42956179
Bizarrap,13829149
Anuel AA,34179646
Eslabon Armado,5140247
Ryan Castro,2103890
Grupo Frontera,2719744
ROSALÍA,8058656
LIT killah,5221937
Rels B,6284849
Marshmello,34621167
Maria Becerra,5550625
Enrique Iglesias,11111651
Rauw Alejandro,20027181
Feid,9051238
Wisin & Yandel,6932307
Shakira,32218152
Aventura,7631727
Anitta,12781450
Piso 21,9156842
Maluma,34247441
Emilia,2105888
Becky G,14257060
Soge Culebra,235508
Måneskin,8356436
Olivia Rodrigo,31483582
Los Enanitos Verdes,3937455
Maná,10501369
Hombres G,4123429
León Larregui,2121642
Jarabe De Palo,1582839
Andrés Calamaro,2380770
Zoé,5598918
Soda Stereo,8291355
cassö,31346
David Guetta,26067194
BENNETT,84255
Calvin Harris,23121204
Ofenbach,561632
Creeds,75410
Imanbek,205737
Fred again..,1165958
Chase & Status,812851
Alesso,3932082
Tiësto,7169064
Alok,11850089
Felix Jaehn,1288594
Bebe Rexha,8772995
Dimitri Vegas & Like Mike,3416966
Swedish House Mafia,3763548
MEDUZA,704641
Öwnboss,79733
Nathan Dawe,104797
Sonny Fodera,169951
Hypaton,54592
Joel Corry,388034
Hannah Laing,50575
Mau P,70991
SEVENTEEN,10766987
BLACKPINK,47555213
Lil Uzi Vert,16442654
Lay Bankz,119934
Kanii,368941
La Mosca Tse-Tse,550695
Café Tacvba,2872060
V,16636286
